announcement_date,effective_date,index,action,ticker,company_name
2020-09-04,2020-09-21,ASX300,Removal,REG,Regis Healthcare Limited
2020-09-04,2020-09-21,ASX300,Removal,SGF,SG Fleet Group Limited
2021-09-03,2021-09-20,ASX200,Addition,LIC,Lifestyle Communities Limited
2021-09-03,2021-09-20,ASX200,Addition,PNI,Pinnacle Investment Management Group Limited
2021-09-03,2021-09-20,ASX200,Addition,SLK,Sealink Travel Group Limited
2021-09-03,2021-09-20,ASX200,Addition,TYR,Tyro Payments Limited
2021-09-03,2021-09-20,ASX200,Removal,GEM,G8 Education Limited
2021-09-03,2021-09-20,ASX200,Removal,NWH,NRW Holdings Limited
2021-09-03,2021-09-20,ASX200,Removal,NXL,Nuix Limited
2021-09-03,2021-09-20,ASX200,Removal,WGX,Westgold Resources Limited
2022-03-04,2022-03-21,ASX200,Addition,AVZ,AVZ Minerals Limited
2022-03-04,2022-03-21,ASX200,Addition,CCX,City Chic Collective Limited
2022-03-04,2022-03-21,ASX200,Addition,DEG,De Grey Mining Limited
2022-03-04,2022-03-21,ASX200,Addition,HMC,Home Consortium Limited
2022-03-04,2022-03-21,ASX200,Removal,MSB,Mesoblast Limited
2022-03-04,2022-03-21,ASX200,Removal,SKC,Skycity Entertainment Group Limited
2022-03-04,2022-03-21,ASX200,Removal,SPK,Spark New Zealand Limited
2022-03-04,2022-03-21,ASX200,Removal,URW,Unibail-Rodamco-Westfield
2022-06-03,2022-06-20,ASX200,Addition,BRN,Brainchip Holdings Limited
2022-06-03,2022-06-20,ASX200,Addition,CXO,Core Lithium Limited
2022-06-03,2022-06-20,ASX200,Addition,LKE,Lake Resources N.L.
2022-06-03,2022-06-20,ASX200,Addition,NHC,New Hope Corporation Limited
2022-06-03,2022-06-20,ASX200,Removal,APX,Appen Limited
2022-06-03,2022-06-20,ASX200,Removal,CDA,Codan Limited
2022-06-03,2022-06-20,ASX200,Removal,PNV,Polynovo Limited
2022-06-03,2022-06-20,ASX200,Removal,PTM,Platinum Asset Management Limited
2022-06-03,2022-06-20,ASX200,Removal,TYR,Tyro Payments Limited
2022-09-02,2022-09-19,ASX200,Addition,CMM,Capricorn Metals Limited
2022-09-02,2022-09-19,ASX200,Addition,CQE,Charter Hall Social Infrastructure REIT
2022-09-02,2022-09-19,ASX200,Addition,JLG,Johns Lyng Group Limited
2022-09-02,2022-09-19,ASX200,Addition,KAR,Karoon Energy Limited
2022-09-02,2022-09-19,ASX200,Addition,LOV,Lovisa Holdings Limited
2022-09-02,2022-09-19,ASX200,Addition,SIQ,Smartgroup Corporation Limited
2022-09-02,2022-09-19,ASX200,Addition,SPK,Spark New Zealand Limited
2022-09-02,2022-09-19,ASX200,Addition,SYA,Sayona Mining Limited
2022-09-02,2022-09-19,ASX200,Removal,360,Life360 Inc.
2022-09-02,2022-09-19,ASX200,Removal,AVZ,AVZ Minerals Limited
2022-09-02,2022-09-19,ASX200,Removal,CCX,City Chic Collective Limited
2022-09-02,2022-09-19,ASX200,Removal,CUV,Clinuvel Pharmaceuticals Limited
2022-09-02,2022-09-19,ASX200,Removal,EML,EML Payments Limited
2022-09-02,2022-09-19,ASX200,Removal,JHG,Janus Henderson Group PLC
2022-09-02,2022-09-19,ASX200,Removal,PBH,Pointsbet Holdings Limited
2022-09-02,2022-09-19,ASX200,Removal,ZIP,ZIP Co Limited
2022-12-02,2022-12-19,ASX200,Addition,MND,Monadelphous Group Limited
2022-12-02,2022-12-19,ASX200,Removal,SBM,St Barbara Limited
2023-03-03,2023-03-20,ASX200,Addition,360,Life360 Inc.
2023-03-03,2023-03-20,ASX200,Addition,NWH,NRW Holdings Limited
2023-03-03,2023-03-20,ASX200,Addition,PNV,Polynovo Limited
2023-03-03,2023-03-20,ASX200,Addition,SYR,Syrah Resources Limited
2023-03-03,2023-03-20,ASX200,Removal,ABC,Adbri Limited
2023-03-03,2023-03-20,ASX200,Removal,NVX,Novonix Limited
2023-03-03,2023-03-20,ASX200,Removal,RMS,Ramelius Resources Limited
2023-03-03,2023-03-20,ASX200,Removal,SIQ,Smartgroup Corporation Limited
2023-09-01,2023-09-18,ASX200,Addition,DTL,Data#3 Limited
2023-09-01,2023-09-18,ASX200,Addition,GMD,Genesis Minerals Limited
2023-09-01,2023-09-18,ASX200,Addition,NEU,Neuren Pharmaceuticals Limited
2023-09-01,2023-09-18,ASX200,Addition,RMS,Ramelius Resources Limited
2023-09-01,2023-09-18,ASX200,Addition,WBT,Weebit Nano Limited
2023-09-01,2023-09-18,ASX200,Removal,ABG,Abacus Group
2023-09-01,2023-09-18,ASX200,Removal,ASK,Abacus Storage King
2023-09-01,2023-09-18,ASX200,Removal,BRN,BrainChip Holdings Limited
2023-09-01,2023-09-18,ASX200,Removal,IMU,Imugene Limited
2023-09-01,2023-09-18,ASX200,Removal,LKE,Lake Resources N.L.
2023-09-01,2023-09-18,ASX200,Removal,SYR,Syrah Resources Limited
2023-12-01,2023-12-18,ASX200,Addition,BOE,Boss Energy Limited
2023-12-01,2023-12-18,ASX200,Addition,HLI,Helia Group Limited
2023-12-01,2023-12-18,ASX200,Addition,SIQ,Smartgroup Corporation Limited
2023-12-01,2023-12-18,ASX200,Removal,CMW,Cromwell Property Group
2023-12-01,2023-12-18,ASX200,Removal,GOZ,Growthpoint Properties Australia
2023-12-01,2023-12-18,ASX200,Removal,LNK,Link Administration Holdings Limited
2024-03-01,2024-03-18,ASX200,Addition,AD8,Audinate Group Limited
2024-03-01,2024-03-18,ASX200,Addition,RED,Red 5 Limited
2024-03-01,2024-03-18,ASX200,Addition,SDR,Siteminder Limited
2024-03-01,2024-03-18,ASX200,Addition,SMR,Stanmore Resources Limited
2024-03-01,2024-03-18,ASX200,Removal,CHN,Chalice Mining Limited
2024-03-01,2024-03-18,ASX200,Removal,CXO,Core Lithium Limited
2024-03-01,2024-03-18,ASX200,Removal,SYA,Sayona Mining Limited
2024-03-01,2024-03-18,ASX200,Removal,WBT,Weebit Nano Limited
2024-09-06,2024-09-23,ASX200,Addition,GYG,Guzman Y Gomez Limited
2024-09-06,2024-09-23,ASX200,Addition,WGX,Westgold Resources Limited
2024-09-06,2024-09-23,ASX200,Addition,YAL,Yancoal Australia Limited
2024-09-06,2024-09-23,ASX200,Removal,DHG,Domain Holdings Australia Limited
2024-09-06,2024-09-23,ASX200,Removal,NAN,Nanosonics Limited
2024-09-06,2024-09-23,ASX200,Removal,STX,Strike Energy Limited
2024-12-06,2024-12-23,ASX200,Addition,CU6,Clarity Pharmaceuticals Limited
2024-12-06,2024-12-23,ASX200,Removal,SPK,Spark New Zealand Limited
2025-03-07,2025-03-24,ASX200,Addition,CSC,Capstone Copper Corp.
2025-03-07,2025-03-24,ASX200,Addition,DGT,DigiCo Infrastructure REIT
2025-03-07,2025-03-24,ASX200,Addition,IMD,Imdex Limited
2025-03-07,2025-03-24,ASX200,Addition,MAQ,Macquarie Technology Group Limited
2025-03-07,2025-03-24,ASX200,Addition,NXL,Nuix Limited
2025-03-07,2025-03-24,ASX200,Addition,SPR,Spartan Resources Limited
2025-03-07,2025-03-24,ASX200,Addition,TPW,Temple & Webster Group Limited
2025-03-07,2025-03-24,ASX200,Removal,AD8,Audinate Group Limited
2025-03-07,2025-03-24,ASX200,Removal,CKF,Collins Foods Limited
2025-03-07,2025-03-24,ASX200,Removal,CQE,Charter Hall Social Infrastructure REIT
2025-03-07,2025-03-24,ASX200,Removal,CRN,Coronado Global Resources Inc.
2025-03-07,2025-03-24,ASX200,Removal,JLG,Johns Lyng Group Limited
2025-03-07,2025-03-24,ASX200,Removal,KLS,Kelsian Group Limited
2025-03-07,2025-03-24,ASX200,Removal,SGR,The Star Entertainment Group Limited
2025-06-06,2025-06-23,ASX200,Addition,ASB,Austal Limited
2025-06-06,2025-06-23,ASX200,Addition,NCK,Nick Scali Limited
2025-06-06,2025-06-23,ASX200,Removal,HLS,Healius Limited
2025-06-06,2025-06-23,ASX200,Removal,SMR,Stanmore Resources Limited
2025-09-05,2025-09-22,ASX200,Addition,DBI,Dalrymple Bay Infrastructure Limited
2025-09-05,2025-09-22,ASX200,Addition,DRO,DroneShield Limited
2025-09-05,2025-09-22,ASX200,Addition,EBO,Ebos Group Limited
2025-09-05,2025-09-22,ASX200,Addition,GGP,Greatland Resources Limited
2025-09-05,2025-09-22,ASX200,Addition,GQG,GQG Partners Inc.
2025-09-05,2025-09-22,ASX200,Addition,IPX,IperionX Limited
2025-09-05,2025-09-22,ASX200,Addition,PRN,Perenti Limited
