ticker,n_events,actions,first_ann,last_ann,company_name,in_yahoo,in_fmp,has_price
SPR,2,"Addition,Removal",2025-03-07,2025-07-15,Spartan Resources Limited,True,True,True
SPT,1,Removal,2012-07-20,2012-07-20,,True,True,True
SQ2,1,Addition,2022-01-14,2022-01-14,,True,True,True
SRG,1,Addition,2026-03-06,2026-03-06,SRG Global Limited,True,True,True
SRX,1,Removal,2018-05-03,2018-05-03,,True,True,True
SSM,2,"Addition,Removal",2019-06-14,2021-03-12,Service Stream Limited,True,True,True
STX,2,"Addition,Removal",2024-02-01,2024-09-06,Strike Energy Limited,True,True,True
SUL,1,Addition,2012-03-21,2012-03-21,,True,True,True
SWM,1,Removal,2019-06-14,2019-06-14,Seven West Media Limited,True,True,True
SXY,2,"Addition,Removal",2012-04-05,2015-09-04,Senex Energy Limited,False,False,False
SYA,2,"Addition,Removal",2022-09-02,2024-03-01,Sayona Mining Limited,True,True,True
SYD,1,Removal,2022-02-03,2022-02-03,,False,False,False
SYR,4,"Addition,Removal",2015-03-06,2023-09-01,Syrah Resources Limited,True,True,True
TAH,2,Addition,2011-05-27,2022-05-17,,True,True,True
TAL,1,Removal,2011-04-15,2011-04-15,,True,True,True
TEL,1,Addition,2011-11-11,2011-11-11,,False,False,False
TEN,1,Removal,2016-03-11,2016-03-11,Ten Network Holdings Limited,False,False,False
TGR,2,"Addition,Removal",2014-06-06,2021-03-12,Tassal Group Limited,False,False,False
TLX,1,Addition,2022-02-03,2022-02-03,,True,True,True
TME,1,Addition,2013-03-01,2013-03-01,Trade Me Group Limited,False,False,False
TNE,1,Addition,2014-09-05,2014-09-05,Technology One Limited,True,True,True
TOL,1,Removal,2015-05-07,2015-05-07,,False,False,False
TPM,1,Addition,2020-06-25,2020-06-25,,False,False,False
TPW,2,"Addition,Removal",2025-03-07,2026-06-05,Temple & Webster Group Limited,True,True,True
TRS,1,Removal,2014-09-05,2014-09-05,The Reject Shop Limited,True,True,True
TRY,2,"Addition,Removal",2012-04-12,2013-06-07,Troy Resources Limited,True,True,True
TTS,1,Removal,2017-12-06,2017-12-06,,False,False,False
TUA,2,"Addition,Removal",2020-06-30,2025-09-05,Tuas Limited,True,True,True
TYR,1,Removal,2022-06-03,2022-06-03,Tyro Payments Limited,True,True,True
UGL,1,Removal,2015-09-04,2015-09-04,UGL Limited,False,False,False
UMG,1,Removal,2023-10-13,2023-10-13,,True,True,True
